player_id,first_name,second_name,player_name,club_name,position_name,extracted_at,total_points,event_points,now_cost
127,Diego,Gómez Amarilla,Diego Gomez,Brighton,MID,2026-08-27 15:23:14.301707+00:00,6,6,5.0
258,Timothy,Castagne,Timothy Castagne,Fulham,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
280,Lewie,Coyle,Lewie Coyle,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.0
504,Luka,Vušković,Luka Vuskovic,Brighton,DEF,2026-08-27 15:23:14.301707+00:00,6,6,5.0
460,Joe,Willock,Joe Willock,Newcastle,MID,2026-08-27 15:23:14.301707+00:00,6,6,5.0
329,Joe,Rodon,Joe Rodon,Leeds,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
200,Maxence,Lacroix,Maxence Lacroix,Chelsea,DEF,2026-08-27 15:23:14.301707+00:00,6,6,6.0
1,David,Raya Martín,David Raya,Arsenal,GKP,2026-08-27 15:23:14.301707+00:00,6,6,6.0
26,Kai,Havertz,Kai Havertz,Arsenal,FWD,2026-08-27 15:23:14.301707+00:00,6,6,7.5
557,Christos,Tzolis,Christos Tzolis,Arsenal,MID,2026-08-27 15:23:14.301707+00:00,6,6,6.5
11,Cristhian,Mosquera,Cristhian Mosquera,Arsenal,DEF,2026-08-27 15:23:14.301707+00:00,6,6,5.5
371,Ryan,Gravenberch,Ryan Gravenberch,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,5,5,6.0
125,Georginio,Rutter,Georginio Georginio,Brighton,FWD,2026-08-27 15:23:14.301707+00:00,5,5,5.5
473,Ola,Aina,Ola Aina,Nott'm Forest,DEF,2026-08-27 15:23:14.301707+00:00,5,5,4.5
295,Oli,McBurnie,Oli McBurnie,Hull City,FWD,2026-08-27 15:23:14.301707+00:00,5,5,5.5
591,Julio,Enciso,Julio Enciso,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,5,5,5.5
551,Nilson,Angulo,Nilson Angulo,Sunderland,MID,2026-08-27 15:23:14.301707+00:00,5,5,5.0
338,Ethan,Ampadu,Ethan Ampadu,Leeds,MID,2026-08-27 15:23:14.301707+00:00,5,5,5.5
267,Saša,Lukić,Saša Lukić,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,5,5,5.0
4,Gabriel,dos Santos Magalhães,Gabriel Gabriel,Arsenal,DEF,2026-08-27 15:23:14.301707+00:00,5,5,8.0
472,Murillo,Costa dos Santos,Murillo Murillo,Nott'm Forest,DEF,2026-08-27 15:23:14.301707+00:00,4,4,5.5
210,Adam,Wharton,Adam Wharton,Crystal Palace,MID,2026-08-27 15:23:14.301707+00:00,4,4,5.5
464,Yoane,Wissa,Yoane Wissa,Newcastle,FWD,2026-08-27 15:23:14.301707+00:00,4,4,6.0
309,Marcelino,Núñez,Marcelino Núñez,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,4,4,5.0
465,William,Osula,William Osula,Newcastle,FWD,2026-08-27 15:23:14.301707+00:00,4,4,6.0
377,Victor,Munoz,Victor Munoz,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,4,4,6.5
304,Dara,O'Shea,Dara O'Shea,Ipswich Town,DEF,2026-08-27 15:23:14.301707+00:00,4,4,4.0
79,Francisco Evanilson,de Lima Barbosa,Francisco Evanilson Evanilson,Bournemouth,FWD,2026-08-27 15:23:14.301707+00:00,4,4,6.0
286,Mohamed,Belloumi,Mohamed Belloumi,Hull City,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.0
337,Brenden,Aaronson,Brenden Aaronson,Leeds,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
260,Harry,Wilson,Harry Wilson,Leeds,MID,2026-08-27 15:23:14.301707+00:00,3,3,6.5
173,Bobby,Thomas,Bobby Thomas,Coventry City,DEF,2026-08-27 15:23:14.301707+00:00,3,3,4.0
384,Gianluigi,Donnarumma,Gianluigi Donnarumma,Man City,GKP,2026-08-27 15:23:14.301707+00:00,3,3,5.5
94,Kevin,Schade,Kevin Schade,Brentford,MID,2026-08-27 15:23:14.301707+00:00,3,3,6.0
95,Dango,Ouattara,Dango O.Dango,Brentford,MID,2026-08-27 15:23:14.301707+00:00,3,3,6.5
151,Josh,Acheampong,Josh Acheampong,Chelsea,DEF,2026-08-27 15:23:14.301707+00:00,3,3,4.5
483,Dan,Ndoye,Dan Ndoye,Nott'm Forest,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
576,Elliot,Stroud,Elliot Stroud,Hull City,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.0
486,James,McAtee,James McAtee,Nott'm Forest,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
255,Jorge,Cuenca Barreno,Jorge J.Cuenca,Fulham,DEF,2026-08-27 15:23:14.301707+00:00,3,3,4.5
449,Lewis,Hall,Lewis Hall,Newcastle,DEF,2026-08-27 15:23:14.301707+00:00,3,3,5.0
202,Chris,Richards,Chris Richards,Crystal Palace,DEF,2026-08-27 15:23:14.301707+00:00,3,3,5.0
498,Marcos,Senesi Barón,Marcos Senesi,Spurs,DEF,2026-08-27 15:23:14.301707+00:00,3,3,6.0
214,Daichi,Kamada,Daichi Kamada,Crystal Palace,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.0
459,Lewis,Miley,Lewis L.Miley,Newcastle,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
13,Declan,Rice,Declan Rice,Arsenal,MID,2026-08-27 15:23:14.301707+00:00,3,3,7.5
247,Hayden,Hackney,Hayden Hackney,Everton,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
246,Merlin,Röhl,Merlin Röhl,Everton,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.0
445,Malick,Thiaw,Malick Thiaw,Newcastle,DEF,2026-08-27 15:23:14.301707+00:00,3,3,5.0
7,Myles,Lewis-Skelly,Myles Lewis-Skelly,Arsenal,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
447,Sven,Botman,Sven Botman,Newcastle,DEF,2026-08-27 15:23:14.301707+00:00,3,3,5.0
502,Andrew,Robertson,Andrew Robertson,Spurs,DEF,2026-08-27 15:23:14.301707+00:00,3,3,4.5
242,Tyrique,George,Tyrique George,Everton,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.5
